Id,Label,tooltip,Degree
112,112,"ABE(lngx=-75.440278,laty=40.652222)",4
4,4,"ABQ(lngx=-106.609167,laty=35.040278)",8
140,140,"ABR(lngx=-98.433333,laty=45.45)",2
7,7,"ACV(lngx=-124.1,laty=40.983333)",3
5,5,"AEX(lngx=-92.548611,laty=31.3275)",3
29,29,"AGS(lngx=-81.966667,laty=33.366667)",1
2,2,"ALB(lngx=-73.8,laty=42.733333)",10
224,224,"ALO(lngx=-92.383333,laty=42.55)",4
222,222,"ALW(lngx=-118.3,laty=46.1)",1
6,6,"APN(lngx=-83.55,laty=45.083333)",2
80,80,"ATL(lngx=-84.428056,laty=33.636667)",112
164,164,"ATW(lngx=-88.516667,laty=44.266667)",10
225,225,"ATY(lngx=-97.15,laty=44.916667)",2
9,9,"AUS(lngx=-97.67,laty=30.194444)",18
8,8,"AVL(lngx=-82.541667,laty=35.436111)",6
228,228,"AVP(lngx=-75.723333,laty=41.338333)",3
104,104,"AZO(lngx=-85.551944,laty=42.235)",10
25,25,"BDL(lngx=-72.683333,laty=41.938889)",13
73,73,"BGM(lngx=-75.979722,laty=42.208611)",1
12,12,"BGR(lngx=-68.816667,laty=44.8)",4
19,19,"BHM(lngx=-86.75,laty=33.566667)",11
18,18,"BIL(lngx=-108.533333,laty=45.8)",13
21,21,"BIS(lngx=-100.75,laty=46.783333)",8
16,16,"BJI(lngx=-94.933333,laty=47.516667)",1
15,15,"BLI(lngx=-122.533333,laty=48.8)",1
32,32,"BMI(lngx=-88.915833,laty=40.477222)",3
152,152,"BNA(lngx=-86.678056,laty=36.124444)",20
24,24,"BOI(lngx=-116.222778,laty=43.564444)",13
115,115,"BOS(lngx=-71.0,laty=42.363056)",17
100,100,"BPT(lngx=-94.1,laty=30.083333)",1
26,26,"BRD(lngx=-94.135556,laty=46.401667)",3
17,17,"BTM(lngx=-112.4975,laty=45.954722)",2
190,190,"BTR(lngx=-91.15,laty=30.533333)",7
28,28,"BTV(lngx=-73.153333,laty=44.471944)",6
27,27,"BUF(lngx=-78.732222,laty=42.940556)",10
23,23,"BUR(lngx=-118.35,laty=34.2)",2
11,11,"BWI(lngx=-76.668333,laty=39.175278)",18
68,68,"BZN(lngx=-111.153056,laty=45.7775)",9
131,131,"CAE(lngx=-81.116667,laty=33.95)",8
1,1,"CAK(lngx=-81.442222,laty=40.916111)",5
122,122,"CHA(lngx=-85.203889,laty=35.035278)",6
3,3,"CHO(lngx=-78.45,laty=38.133333)",2
34,34,"CHS(lngx=-80.040556,laty=32.898611)",8
31,31,"CID(lngx=-91.710833,laty=41.884722)",6
38,38,"CIU(lngx=-84.466667,laty=46.25)",3
84,84,"CLE(lngx=-81.85,laty=41.416667)",61
35,35,"CLT(lngx=-80.933333,laty=35.216667)",18
172,172,"CMH(lngx=-82.883333,laty=40.0)",23
220,220,"CMI(lngx=-88.283333,laty=40.033333)",1
85,85,"CMX(lngx=-88.573333,laty=47.123611)",3
43,43,"COS(lngx=-104.716667,laty=38.816667)",6
153,153,"CPR(lngx=-106.464444,laty=42.908056)",1
234,234,"CRW(lngx=-81.6,laty=38.366667)",2
41,41,"CVG(lngx=-84.667778,laty=39.048889)",76
33,33,"CWA(lngx=-89.683056,laty=44.769444)",2
178,178,"DAB(lngx=-81.05,laty=29.183333)",2
121,121,"DAL(lngx=-96.85,laty=32.852778)",1
98,98,"DAY(lngx=-84.183333,laty=39.75)",11
189,189,"DCA(lngx=-77.037778,laty=38.851944)",25
48,48,"DEN(lngx=-104.673056,laty=39.861667)",20
44,44,"DFW(lngx=-97.038056,laty=32.896944)",21
52,52,"DHN(lngx=-85.45,laty=31.316667)",1
53,53,"DLH(lngx=-92.183333,laty=46.833333)",13
49,49,"DSM(lngx=-93.663056,laty=41.533889)",19
50,50,"DTW(lngx=-83.353333,laty=42.2125)",125
51,51,"DVL(lngx=-98.9,laty=48.116667)",3
166,166,"EAT(lngx=-120.2,laty=47.4)",1
39,39,"EAU(lngx=-91.484167,laty=44.865833)",2
54,54,"EGE(lngx=-106.916667,laty=39.633333)",2
57,57,"ELM(lngx=-76.9,laty=42.166667)",2
56,56,"ELP(lngx=-106.383333,laty=31.8)",3
88,88,"ERI(lngx=-80.183333,laty=42.083333)",6
60,60,"EUG(lngx=-123.216667,laty=44.116667)",2
61,61,"EVV(lngx=-87.5325,laty=38.036944)",12
154,154,"EWR(lngx=-74.168611,laty=40.6925)",74
91,91,"EYW(lngx=-81.766667,laty=24.55)",3
82,82,"FAR(lngx=-96.816667,laty=46.916667)",16
66,66,"FAT(lngx=-119.716667,laty=36.766667)",3
71,71,"FCA(lngx=-114.266667,laty=48.316667)",5
65,65,"FLL(lngx=-80.152778,laty=26.0725)",13
20,20,"FNT(lngx=-83.743611,laty=42.965556)",12
64,64,"FOD(lngx=-94.191944,laty=42.551111)",2
101,101,"FSD(lngx=-96.741944,laty=43.581944)",7
179,179,"FSM(lngx=-94.366667,laty=35.333333)",6
149,149,"FWA(lngx=-85.116667,laty=41.116667)",5
47,47,"GDV(lngx=-104.683333,laty=47.133333)",1
206,206,"GEG(lngx=-117.533889,laty=47.619722)",7
72,72,"GFK(lngx=-97.183333,laty=47.95)",7
89,89,"GGW(lngx=-106.616667,laty=48.216667)",1
76,76,"GLH(lngx=-90.985,laty=33.477222)",2
67,67,"GNV(lngx=-82.266667,laty=29.683333)",1
78,78,"GPT(lngx=-89.066667,laty=30.4)",6
10,10,"GRB(lngx=-88.133333,laty=44.483333)",17
106,106,"GRR(lngx=-85.533333,laty=42.883333)",26
169,169,"GSO(lngx=-79.937222,laty=36.097778)",12
77,77,"GSP(lngx=-82.218889,laty=34.895556)",15
90,90,"GTF(lngx=-111.366667,laty=47.5)",7
233,233,"HDN(lngx=-106.869444,laty=40.519444)",2
40,40,"HIB(lngx=-92.833333,laty=47.383333)",2
83,83,"HLN(lngx=-111.983333,laty=46.6)",6
230,230,"HOU(lngx=-95.278889,laty=29.645556)",2
226,226,"HPN(lngx=-73.7,laty=41.066667)",5
86,86,"HSV(lngx=-86.775,laty=34.637222)",12
42,42,"HVR(lngx=-109.766667,laty=48.55)",1
223,223,"IAD(lngx=-77.455833,laty=38.944444)",14
70,70,"IAH(lngx=-95.341389,laty=29.984444)",81
133,133,"ICT(lngx=-97.433333,laty=37.65)",5
63,63,"IDA(lngx=-112.066667,laty=43.516667)",6
231,231,"ILM(lngx=-77.9025,laty=34.270556)",1
87,87,"IND(lngx=-86.294722,laty=39.717222)",37
62,62,"INL(lngx=-93.4,laty=48.566667)",2
117,117,"ISP(lngx=-73.100278,laty=40.795278)",2
215,215,"ITH(lngx=-76.466667,laty=42.483333)",5
96,96,"JAN(lngx=-90.075833,laty=32.311111)",13
97,97,"JAX(lngx=-81.633333,laty=30.416667)",13
102,102,"JFK(lngx=-73.783333,laty=40.633333)",14
99,99,"JMS(lngx=-98.683333,laty=46.933333)",3
30,30,"LAN(lngx=-84.583333,laty=42.783333)",11
127,127,"LAS(lngx=-115.166667,laty=36.083333)",19
118,118,"LAX(lngx=-118.407222,laty=33.9425)",30
227,227,"LBE(lngx=-79.4,laty=40.283333)",2
142,142,"LCH(lngx=-93.216667,laty=30.116667)",1
22,22,"LEX(lngx=-84.605833,laty=38.036389)",13
110,110,"LFT(lngx=-91.9875,laty=30.205278)",4
109,109,"LGA(lngx=-73.866667,laty=40.766667)",24
116,116,"LGB(lngx=-118.15,laty=33.816667)",1
0,0,"LIT(lngx=-92.224444,laty=34.729444)",10
108,108,"LMT(lngx=-121.733333,laty=42.166667)",1
114,114,"LNK(lngx=-96.759167,laty=40.850833)",4
141,141,"LSE(lngx=-91.25,laty=43.883333)",4
156,156,"LWS(lngx=-117.033333,laty=46.383333)",2
143,143,"LWT(lngx=-109.466667,laty=47.05)",1
125,125,"MBS(lngx=-83.079722,laty=43.532778)",9
105,105,"MCI(lngx=-94.730556,laty=39.291667)",24
163,163,"MCO(lngx=-81.308889,laty=28.429444)",17
124,124,"MCW(lngx=-93.331389,laty=43.157778)",2
79,79,"MDT(lngx=-76.763333,laty=40.193611)",7
134,134,"MDW(lngx=-87.75,laty=41.783333)",16
107,107,"MEI(lngx=-88.75,laty=32.333333)",1
130,130,"MEM(lngx=-89.966667,laty=35.066667)",90
126,126,"MFE(lngx=-98.238611,laty=26.175833)",1
188,188,"MFR(lngx=-122.866667,laty=42.366667)",3
46,46,"MGM(lngx=-86.4,laty=32.3)",2
123,123,"MHT(lngx=-71.435556,laty=42.9325)",8
132,132,"MIA(lngx=-80.266667,laty=25.783333)",15
69,69,"MKE(lngx=-87.9,laty=42.95)",22
150,150,"MKG(lngx=-86.233333,laty=43.166667)",3
129,129,"MLB(lngx=-80.633333,laty=28.1)",1
175,175,"MLI(lngx=-90.516667,laty=41.45)",8
144,144,"MLS(lngx=-105.883333,laty=46.433333)",1
145,145,"MLU(lngx=-92.033333,laty=32.5)",6
138,138,"MOB(lngx=-88.242778,laty=30.691111)",5
92,92,"MOT(lngx=-101.283333,laty=48.266667)",6
199,199,"MQT(lngx=-87.566667,laty=46.533333)",3
139,139,"MRY(lngx=-121.85,laty=36.583333)",1
201,201,"MSL(lngx=-87.616667,laty=34.75)",2
45,45,"MSN(lngx=-89.3375,laty=43.139722)",22
137,137,"MSO(lngx=-114.083333,laty=46.916667)",4
136,136,"MSP(lngx=-93.216944,laty=44.883333)",130
119,119,"MSY(lngx=-90.258056,laty=29.993333)",13
151,151,"MYR(lngx=-78.966667,laty=33.7)",2
160,160,"OAK(lngx=-122.216667,laty=37.716667)",5
229,229,"OKC(lngx=-97.600833,laty=35.393056)",12
94,94,"OLF(lngx=-105.566667,laty=48.083333)",1
59,59,"OMA(lngx=-95.9,laty=41.3)",15
162,162,"ONT(lngx=-117.601111,laty=34.056111)",5
37,37,"ORD(lngx=-87.904722,laty=41.978611)",22
157,157,"ORF(lngx=-76.2,laty=36.9)",11
158,158,"OTH(lngx=-124.25,laty=43.416667)",1
13,13,"PAH(lngx=-88.773056,laty=37.060278)",5
165,165,"PBI(lngx=-80.095556,laty=26.683056)",8
167,167,"PDT(lngx=-118.833333,laty=45.7)",1
173,173,"PDX(lngx=-122.5975,laty=45.588611)",36
14,14,"PFN(lngx=-85.683333,laty=30.216667)",6
155,155,"PHF(lngx=-76.5,laty=37.133333)",1
168,168,"PHL(lngx=-75.241111,laty=39.871944)",22
203,203,"PHX(lngx=-112.033333,laty=33.433333)",18
74,74,"PIA(lngx=-89.683333,laty=40.666667)",6
81,81,"PIB(lngx=-89.336944,laty=31.467222)",2
170,170,"PIR(lngx=-100.283333,laty=44.383333)",2
171,171,"PIT(lngx=-80.232778,laty=40.491389)",18
58,58,"PLN(lngx=-84.8,laty=45.566667)",1
180,180,"PNS(lngx=-87.183333,laty=30.466667)",8
216,216,"PSC(lngx=-119.119167,laty=46.264722)",3
146,146,"PSP(lngx=-116.5,laty=33.833333)",5
174,174,"PUW(lngx=-117.116667,laty=46.75)",2
211,211,"PVD(lngx=-71.433333,laty=41.733333)",9
95,95,"PWM(lngx=-70.3,laty=43.65)",8
181,181,"RAP(lngx=-103.05,laty=44.033333)",7
177,177,"RDD(lngx=-122.3,laty=40.5)",3
187,187,"RDM(lngx=-121.15,laty=44.25)",2
176,176,"RDU(lngx=-78.7875,laty=35.877778)",18
161,161,"RHI(lngx=-89.45,laty=45.633333)",2
185,185,"RIC(lngx=-77.316667,laty=37.5)",14
183,183,"RNO(lngx=-119.768056,laty=39.499167)",6
186,186,"ROA(lngx=-79.983333,laty=37.316667)",4
75,75,"ROC(lngx=-77.6725,laty=43.118889)",13
93,93,"RST(lngx=-92.5,laty=43.908333)",10
205,205,"RSW(lngx=-81.755278,laty=26.542222)",14
194,194,"SAN(lngx=-117.183333,laty=32.733333)",15
193,193,"SAT(lngx=-98.466667,laty=29.533333)",11
198,198,"SAV(lngx=-81.2,laty=32.133333)",8
148,148,"SBA(lngx=-119.840278,laty=33.426111)",3
204,204,"SBN(lngx=-86.316667,laty=41.7)",8
196,196,"SBP(lngx=-120.641944,laty=35.236944)",1
221,221,"SCE(lngx=-77.883333,laty=40.772222)",5
120,120,"SDF(lngx=-85.736111,laty=38.174444)",18
184,184,"SDY(lngx=-104.183333,laty=47.716667)",1
200,200,"SEA(lngx=-122.309444,laty=47.448889)",55
195,195,"SFO(lngx=-122.375,laty=37.618889)",18
207,207,"SGF(lngx=-93.383333,laty=37.25)",10
182,182,"SHV(lngx=-93.816667,laty=32.45)",7
135,135,"SJC(lngx=-121.919444,laty=37.352778)",10
192,192,"SLC(lngx=-111.966667,laty=40.788333)",50
191,191,"SMF(lngx=-121.616667,laty=38.7)",10
103,103,"SNA(lngx=-117.866667,laty=33.666667)",10
197,197,"SRQ(lngx=-82.554444,laty=27.395556)",5
147,147,"STC(lngx=-94.183333,laty=45.583333)",2
111,111,"STL(lngx=-90.37,laty=38.748611)",20
209,209,"SUN(lngx=-114.316667,laty=43.5)",1
202,202,"SUX(lngx=-96.383333,laty=42.4)",3
208,208,"SWF(lngx=-74.016667,laty=41.5)",4
210,210,"SYR(lngx=-76.116667,laty=43.116667)",9
212,212,"TLH(lngx=-84.350278,laty=30.396389)",7
214,214,"TOL(lngx=-83.807778,laty=41.586944)",2
213,213,"TPA(lngx=-82.533056,laty=27.975556)",14
217,217,"TRI(lngx=-82.4075,laty=36.475278)",6
219,219,"TUL(lngx=-95.888056,laty=36.198333)",12
113,113,"TUP(lngx=-88.77,laty=34.268056)",2
218,218,"TUS(lngx=-110.941111,laty=32.116111)",7
36,36,"TVC(lngx=-85.582222,laty=44.741389)",9
128,128,"TYS(lngx=-83.916667,laty=35.95)",19
55,55,"VPS(lngx=-86.525278,laty=30.483333)",6
159,159,"XNA(lngx=-94.306667,laty=36.281667)",10
232,232,"YKM(lngx=-120.533333,laty=46.566667)",1
